T[K],Rho [microOhm cm],T [K],Rho [1E-8 Ohm m]
20,0.0008,1,0.0001
30,0.0043,2,0.000102
40,0.0179,4,0.000109
50,0.0472,7,0.00014
60,0.0953,10,0.000192
70,0.1618,15,0.000345
80,0.2439,20,0.000748
90,0.3377,25,0.00186
100,0.4401,30,0.00451
120,0.6601,40,0.018
140,0.8899,50,0.0476
160,1.123,60,0.0955
180,1.356,70,0.1618
200,1.589,80,0.2439
220,1.82,90,0.338
240,2.049,100,0.44
260,2.278,150,1.003
280,2.506,200,1.584
300,2.733,250,2.155
320,2.961,273,2.417
340,3.189,293,2.65
360,3.416,300,2.733
380,3.645,400,3.875
400,3.875,500,5.02
,,600,6.122
,,700,7.322
,,800,8.614
,,900,10.005
,,933.52,10.565
